ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
11.180284470721592,,,,,,,,,
11.180694664461903,,,,,,,110.73929934431216,,
11.26782838471403,,,,,,,,,
13.175401724233025,47.432,,,,,,,,
11.301793996392291,,,,,,,,,
0.2274990502021987,,,,,,,,,
11.89807802974039,,,,,,,,,
10.90507641006552,,,,,,,,,
0.9899122128791388,,,,444.3757306927798,,,,,
10.811289500397242,,,,,,,,,
11.0278798626952,,,,,,,,,
11.24450714270002,,,,,,,,,
12.246928068519756,,,,,,,,,
11.53488049111763,,,,,,,,,
10.848130421433211,,,,,,,,,
13.999999999999998,,,,,,,,,
11.568767965914164,,,,,,,,,
11.235425957161038,,,,,,,,,
11.069456289054555,,,,,,,,,
10.887304994821244,283.89586375660326,,,,,,,,
11.219134743203494,,,,,,,,,
11.907739829669833,298.09867947877547,,,,,,,,
13.54124023656798,,,,,,,,,
10.94747263615245,,,,,,,,,
13.349888560662292,,,,,,,,,
1.4317815547427415,,,,,,,,,
10.851860346886728,,,,,,,,,
11.563169064627823,,,,,,,,,
0.975577989772022,,,,,,,,,
10.893484732796878,,,,,,,,,
11.496702452694173,,,,,,,,,
10.933110723500878,,,,,,,,,
0.0,,49456.5871084231,,,,,,,
11.496858885301972,,,,,,,,,
11.62114013448698,,,,,,,,,
11.39054310956363,,,,,,,,,
10.81783107643296,,,,,,,,,
11.449739296302305,,,,,,,,,
10.808156938842764,,,,,,,,,
11.491010908391427,,,,,,,,,
